player_id,short_name,value_eur,age,club_name,nationality_name
271256,S. Ngoura,300000,17,Le Havre,France
239706,D. Erdoğan,1100000,24,Gaziantep F.K.,Turkey
245694,A. Traoré,3200000,27,Ferencváros,Mali
263168,T. Onyango,675000,18,Everton,England
209889,R. Guerreiro,27500000,28,Borussia Dortmund,Portugal
205433,A. Hahn,375000,28,Viktoria Berlin,Germany
235212,A. Hakimi,53500000,23,Paris Saint Germain,Morocco
258151,V. Mastrantonio,400000,23,Cittadella,Italy
263335,T. Loridan,275000,18,Dunkerque,France
248105,V. Ghiță,2100000,23,Cracovia Kraków,Romania
260908,M. Kerkez,4200000,18,AZ,Hungary
246126,C. Mola,1800000,20,VfB Stuttgart,England
231521,E. Palacios,21500000,22,Bayer 04 Leverkusen,Argentina
228942,D. Cools,1600000,25,Zulte-Waregem,Malaysia
252749,P. Akono,475000,21,AS Eupen,Cameroon
263150,J. Meyer,475000,20,VfB Stuttgart,Germany
263777,J. Sangowski,350000,19,Warta Poznań,Poland
200061,A. Tutte,275000,30,Bolton Wanderers,England
258642,Nuno Lima,2400000,21,Paços de Ferreira,Portugal
262405,G. Burroughs,250000,18,Coventry City,Scotland
254496,C. Grant,525000,19,Rochdale,Republic of Ireland
242815,D. Fitz,2100000,22,Austria Wien,Austria
230214,Luis Paezinho,675000,26,Santos,Brazil
210000,M. Gajos,825000,31,Lechia Gdańsk,Poland
259356,C. Chukwuemeka,1800000,17,Aston Villa,England
252830,Bruno Duarte,1800000,26,Dhamk,Brazil
268096,M. Steffen,230000,18,Vitesse,Netherlands
217047,A. Godoy,1300000,31,Nashville SC,Panama
242448,André Silva,1900000,24,Arouca,Brazil
192320,G. Gardner,1200000,29,Birmingham City,England
234980,Y. Shakhov,1500000,30,AEK Athens,Ukraine
230295,Cris Laranjeiros,4700000,29,Athletico PR,Brazil
272399,L. Agyekum,575000,18,Salzburg,Ghana
262994,B. McLean,160000,18,Burton Albion,England
241168,G. Chakvetadze,2200000,21,Hamburger SV,Georgia
250935,J. Dixon,170000,20,Carlisle United,England
268297,Gabriel Pereira,3100000,20,New York City,Brazil
254719,C. Nuñez,900000,25,Nacional Asunción,Paraguay
258210,N. Marichal,2900000,20,Nacional,Uruguay
190535,Míchel,1400000,33,Tenerife,Spain
234824,Y. Wissa,6500000,25,Brentford,Congo DR
229654,Gerard Valentín,1900000,28,Huesca,Spain
211978,S. Hoare,625000,27,Shamrock Rovers,Republic of Ireland
211325,A. Schiavone,725000,28,Salernitana,Italy
241708,M. Sagnan,4900000,22,Tondela,France
